Dataset,ID,Volume (m3),H (m),L (m),H/L,F-Angle
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Røyrfiten,"510,913",657,1165,0.56,29
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Stortunga,"2,462,080",548,1059,0.52,27
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Heimalia_max,"432,000",514,764,0.67,34
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Heimalia_min,"144,000",514,764,0.67,34
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Middagsfjellet,"24,950",256,249,1.03,46
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Stølsdalen,"87,702",597,792,0.75,37
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Rumpevadet,"85,386",728,920,0.79,38
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Gregusbotnen,"1,491,930",757,1601,0.47,25
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Slottet,"66,776",270,407,0.66,33
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Langeland,"1,742,410",378,833,0.45,24
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Ro,"115,639",314,476,0.66,33
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Vassura,"591,261",288,619,0.47,25
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Bjoreio,"109,899",387,487,0.79,38
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Lauvhjadlen,"63,324",418,454,0.92,43
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Måbø,"20,041",148,161,0.92,43
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Tveito,"20,845",262,303,0.86,41
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Skaggen 2,"236,092",438,441,0.99,45
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Valur,"615,553",456,454,1,45
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Båsahaug,"149,158",216,230,0.94,43
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Møyfallsnuten,"349,045",464,630,0.74,37
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Tyssebotn,"35,618",440,641,0.69,35
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Reinaskori,"145,298",508,594,0.86,41
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Kvitur,"20,263",336,409,0.82,39
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Vidjeurene,"225,682",377,522,0.72,36
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Bakka1,"11,523",132,185,0.71,35
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Erreskar1,"25,643",358,413,0.87,41
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Nip1,"65,613",462,503,0.92,43
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Nip2,"17,063",365,356,1.03,46
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Storelvi,"45,161",372,325,1.14,49
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Lonelia3,"38,058",574,585,0.98,44
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Bjøllura,"41,603",374,372,1.01,45
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Ripelsgjelet,"32,207",399,361,1.11,48
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Skumpagilet1,"31,354",149,186,0.8,39
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Gangdalsnuten,"21,082",300,452,0.66,33
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Nova1,"26,155",233,284,0.82,39
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Kaldesteinane,"21,603",203,277,0.73,36
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Nipeuri,"65,194",243,305,0.8,39
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Stavbergsdalen,"30,513",234,312,0.75,37
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Høgdene,"125,835",290,398,0.73,36
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Streitesdalen,"41,696",457,440,1.04,46
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Skaggen 1,"237,388",616,711,0.87,41
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Hjølmo,"20,286",172,260,0.66,33
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Espekorane,"16,338",242,374,0.65,33
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Vedalsjuvet,"401,055",605,744,0.81,39
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Tyssviklia,"288,478",526,702,0.75,37
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Grønedalen,"34,607",382,488,0.78,38
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Svarthamrane 2,"33,090",399,454,0.88,41
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Svarthamrane 3,"12,635",127,175,0.73,36
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Svarthamrane 1,"397,025",546,723,0.76,37
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Lindtona,"95,333",306,417,0.73,36
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Nipa,"11,225",167,218,0.77,38
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Bulken,"99,616",422,481,0.88,41
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Mjøstølen,"30,430",109,137,0.8,39
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Buleitegilet,"31,065",310,443,0.7,35
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Storlia,"181,139",740,1288,0.57,30
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Eggene,"108,760",290,450,0.64,33
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Hestehovudet,"61,460",321,364,0.88,41
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Myranakken,"39,602",363,434,0.84,40
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Århus,"39,602",260,255,1.02,46
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Blåfjell,"78,657",455,512,0.89,42
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Hjallane,"173,555",511,668,0.76,37
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Menes,"366,489",1267,1691,0.75,37
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Moldsteinsbakken,"886,981",662,767,0.86,41
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Trondenotten,"40,492",435,371,1.17,49
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Hiskredskorane,"38,569",362,362,1,45
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Sima,"141,629",889,914,0.97,44
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Ulagilet,"1,100,560",819,1190,0.69,35
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Storøya,"236,427",586,654,0.9,42
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Tveit,"184,334",401,576,0.7,35
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Øyjorda,"91,972",413,529,0.78,38
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Sæ,"137,748",732,929,0.79,38
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Simadal,"277,887",569,630,0.9,42
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Småskorenuten,"40,942",233,293,0.8,39
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Skori,"17,339",187,156,1.2,50
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Træstane,"22,500",720,889,0.81,39
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Fitjasetre,"289,594",419,552,0.76,37
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Slevedalen1,"17,461",137,154,0.89,42
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Slevedalen2,"21,548",273,229,1.19,50
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Stegane,"29,333",206,237,0.87,41
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Storenuten2,"194,994",500,596,0.84,40
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Storenuten1,"101,328",575,621,0.93,43
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Massøyna,"75,591",387,456,0.85,40
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Tveit,"184,334",299,457,0.65,33
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Stigaflot,"685,140",461,699,0.66,33
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Katturda,"118,228",528,688,0.77,38
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Storekammen,"82,771",369,342,1.08,47
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Norddøla 1,"276,790",543,595,0.91,42
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Midhushagen,"63,565",205,263,0.78,38
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Midhus,"118,048",294,431,0.68,34
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Skredena,"201,898",451,536,0.84,40
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Orrøyna,"27,832",250,349,0.72,36
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Svining,"480,119",496,623,0.8,39
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Fjelaleitet,"19,334",168,208,0.81,39
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Urane,"3,047,810",574,841,0.68,34
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Liasete,"1,076,980",358,506,0.71,35
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Trolltunga,"99,791",322,426,0.76,37
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Eikeskorane,"19,613",358,315,1.14,49
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Lonelia2,"38,075",417,436,0.96,44
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Botnagilet2,"39,139",149,167,0.89,42
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Fuglaskor1,"32,433",276,254,1.09,47
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Fuglaskor2,"19,556",254,260,0.98,44
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Furelundsheia,"43,883",184,256,0.72,36
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Bjørkholmen,"75,942",330,384,0.86,41
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Hjellafjellet,"233,054",402,539,0.75,37
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Vasskredura,"593,198",507,653,0.78,38
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Sandarvollia,"1,181,990",919,1394,0.66,33
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Storabrekka,"3,605,210",776,1503,0.52,27
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Eitrheim,"118,528",541,567,0.95,44
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Byrkjeneset,"11,013",251,206,1.22,51
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Nuten,"17,468",227,224,1.01,45
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Vetletunga,"72,785",437,493,0.89,42
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Norddøla 2,"176,114",301,416,0.72,36
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Slaget,"27,841",191,223,0.86,41
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Røyso,"31,510",417,310,1.35,53
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Hjølmadalen,"95,783",368,478,0.77,38
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Kastdalen,"92,798",343,333,1.03,46
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Kovurane,"127,023",343,518,0.66,33
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Øyre,"183,655",514,528,0.97,44
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Langedalen,"159,274",447,453,0.99,45
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Heimstetjørni,"35,437",209,245,0.85,40
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Vaulane,"27,627",346,369,0.94,43
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Lægreid,"18,629",202,248,0.81,39
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Botnagilet3,"12,461",189,197,0.96,44
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Nova,"13,159",188,229,0.82,39
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Farestveit,"19,999",139,223,0.62,32
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Krossfjellet,"61,163",282,278,1.01,45
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Renneskor,"10,107",212,269,0.79,38
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Tierhaug,"28,691",164,249,0.66,33
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Brekke,"14,608",146,172,0.85,40
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Glopura,"37,057",508,517,0.98,44
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Byrkjenes,"24,151",272,250,1.09,47
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Sankliskorane2,"14,308",402,419,0.96,44
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Juldalsgilet,"147,890",228,310,0.74,37
